label,location,date,value,group
Nike,13,2008,1,Nike (+2)
Nike,91,2020,4,Nike (+2)
Nike,92,2006,2,Nike (+2)
Nike,75,1999,2,Nike (+2)
Nike,78,2010,1,Nike (+2)
Nike,78,1997,1,Nike (+2)
Nike,34,2015,1,Nike (+2)
Nike,94,2015,4,Nike (+2)
Nike,13,2013,2,Nike (+2)
Nike,76,2007,3,Nike (+2)
Nike,69,2015,2,Nike (+2)
Nike,69,2010,3,Nike (+2)
Nike,31,2013,1,Nike (+2)
Nike,92,2005,1,Nike (+2)
Nike,92,2007,1,Nike (+2)
Nike,95,2012,2,Nike (+2)
Nike,93,2000,1,Nike (+2)
Nike,78,2006,1,Nike (+2)
Nike,69,2017,3,Nike (+2)
Nike,92,1995,1,Nike (+2)
Nike,69,2018,2,Nike (+2)
Nike,69,2019,3,Nike (+2)
Nike,78,2011,2,Nike (+2)
Nike,69,2016,1,Nike (+2)
Nike,94,1997,1,Nike (+2)
Nike,75,2010,1,Nike (+2)
Nike,93,2010,1,Nike (+2)
Nike,78,2014,1,Nike (+2)
Nike,78,2013,2,Nike (+2)
Nike,75,2006,4,Nike (+2)
Nike,92,1999,1,Nike (+2)
Nike,57,2009,1,Nike (+2)
Nike,95,2017,1,Nike (+2)
Nike,95,2016,1,Nike (+2)
Nike,85,2015,1,Nike (+2)
Nike,66,2019,1,Nike (+2)
Nike,92,2009,1,Nike (+2)
Nike,91,2006,2,Nike (+2)
Nike,75,2002,1,Nike (+2)
Nike,94,2016,1,Nike (+2)
Nike,33,2008,1,Nike (+2)
Nike,93,2004,1,Nike (+2)
Nike,75,1998,4,Nike (+2)
Nike,59,2016,3,Nike (+2)
Nike,91,2013,2,Nike (+2)
Nike,13,2012,5,Nike (+2)
Nike,13,2009,2,Nike (+2)
Nike,77,2017,2,Nike (+2)
Nike,75,2004,1,Nike (+2)
Nike,77,2006,1,Nike (+2)
Nike,92,2001,1,Nike (+2)
Nike,92,2008,1,Nike (+2)
Nike,34,2010,1,Nike (+2)
Nike,34,2012,1,Nike (+2)
Nike,34,2011,1,Nike (+2)
Nike,95,2013,2,Nike (+2)
Nike,95,2006,1,Nike (+2)
Nike,75,2007,2,Nike (+2)
Nike,60,2017,1,Nike (+2)
Nike,91,2007,1,Nike (+2)
Nike,94,2008,1,Nike (+2)
Nike,95,2019,1,Nike (+2)
Nike,78,2017,1,Nike (+2)
Nike,31,2014,1,Nike (+2)
Nike,54,2010,1,Nike (+2)
Nike,94,2013,1,Nike (+2)
Nike,93,2001,1,Nike (+2)
Nike,51,2020,1,Nike (+2)
Nike,76,2012,2,Nike (+2)
Nike,77,2018,1,Nike (+2)
Nike,91,2012,1,Nike (+2)
Nike,91,2016,2,Nike (+2)
Nike,38,2015,1,Nike (+2)
Nike,38,2019,1,Nike (+2)
Nike,44,2011,1,Nike (+2)
Nike,44,2003,1,Nike (+2)
Nike,13,2019,1,Nike (+2)
Nike,30,2016,2,Nike (+2)
Nike,30,2020,3,Nike (+2)
Nike,30,2018,1,Nike (+2)
Nike,77,2011,1,Nike (+2)
Nike,93,2007,1,Nike (+2)
Nike,77,2014,2,Nike (+2)
Adidas,91,2014,2,Nike (+2)
Adidas,91,2009,1,Nike (+2)
Adidas,69,2013,1,Nike (+2)
Adidas,75,2000,1,Nike (+2)
Adidas,74,2017,2,Nike (+2)
Adidas,28,2008,1,Nike (+2)
Adidas,33,2016,1,Nike (+2)
Adidas,92,2006,2,Nike (+2)
Adidas,92,2007,1,Nike (+2)
Adidas,76,2004,1,Nike (+2)
Adidas,25,2007,1,Nike (+2)
Adidas,6,2008,1,Nike (+2)
Adidas,75,2003,1,Nike (+2)
Adidas,75,2008,1,Nike (+2)
Adidas,93,1996,1,Nike (+2)
Adidas,95,2010,1,Nike (+2)
Adidas,94,2016,1,Nike (+2)
Adidas,13,2007,1,Nike (+2)
Adidas,75,2016,2,Nike (+2)
Adidas,92,2017,2,Nike (+2)
Adidas,75,2014,1,Nike (+2)
Adidas,83,2016,1,Nike (+2)
Adidas,59,2018,1,Nike (+2)
Adidas,93,2009,1,Nike (+2)
Adidas,6,2014,1,Nike (+2)
Adidas,75,2005,3,Nike (+2)
Adidas,75,2018,2,Nike (+2)
Adidas,18,2017,1,Nike (+2)
Adidas,93,2013,1,Nike (+2)
Adidas,92,2018,1,Nike (+2)
Adidas,94,2009,1,Nike (+2)
Adidas,75,1999,1,Nike (+2)
Adidas,78,2005,1,Nike (+2)
